index,pruid,prname,prnameFR,sdate,numconf,numprob,numdeaths,numtotal,numtoday,ratetotal
180,46,Manitoba,Manitoba,3/19/2020,17,0,0,17,2,1.24
181,35,Ontario,Ontario,3/19/2020,258,0,2,258,69,1.77
182,24,Quebec,QuÃ©bec,3/19/2020,121,0,1,121,47,1.43
183,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/19/2020,1,2,0,3,0,0.58
184,13,New Brunswick,Nouveau-Brunswick,3/19/2020,7,4,0,11,3,1.42
185,12,Nova Scotia,Nouvelle-Ã‰cosse,3/19/2020,5,9,0,14,7,1.44
186,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/19/2020,2,0,0,2,1,1.27
187,60,Yukon,Yukon,3/19/2020,0,0,0,0,0,0
188,61,Northwest Territories,Territoires du Nord-Ouest,3/19/2020,0,0,0,0,0,0
189,62,Nunavut,Nunavut,3/19/2020,0,0,0,0,0,0
190,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/19/2020,10,0,0,10,1,
191,1,Canada,Canada,3/19/2020,846,27,12,873,276,2.32
192,59,British Columbia,Colombie-Britannique,3/20/2020,271,0,9,271,0,5.34
193,48,Alberta,Alberta,3/20/2020,195,0,1,195,49,4.46
194,47,Saskatchewan,Saskatchewan,3/20/2020,8,18,0,26,6,2.21
195,46,Manitoba,Manitoba,3/20/2020,17,0,0,17,0,1.24
196,35,Ontario,Ontario,3/20/2020,311,0,2,311,53,2.14
197,24,Quebec,QuÃ©bec,3/20/2020,139,0,1,139,18,1.64
198,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/20/2020,3,1,0,4,1,0.77
199,13,New Brunswick,Nouveau-Brunswick,3/20/2020,7,4,0,11,0,1.42
200,12,Nova Scotia,Nouvelle-Ã‰cosse,3/20/2020,5,10,0,15,1,1.54
201,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/20/2020,2,0,0,2,0,1.27
202,60,Yukon,Yukon,3/20/2020,0,0,0,0,0,0
203,61,Northwest Territories,Territoires du Nord-Ouest,3/20/2020,0,0,0,0,0,0
204,62,Nunavut,Nunavut,3/20/2020,0,0,0,0,0,0
205,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/20/2020,13,0,0,13,3,
206,1,Canada,Canada,3/20/2020,971,33,13,1004,131,2.67
207,59,British Columbia,Colombie-Britannique,3/21/2020,424,0,10,424,153,8.36
208,48,Alberta,Alberta,3/21/2020,226,0,1,226,31,5.17
209,47,Saskatchewan,Saskatchewan,3/21/2020,25,19,0,44,18,3.75
210,46,Manitoba,Manitoba,3/21/2020,11,8,0,19,2,1.39
211,35,Ontario,Ontario,3/21/2020,377,0,3,377,66,2.59
212,24,Quebec,QuÃ©bec,3/21/2020,202,19,4,221,82,2.6
213,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/21/2020,3,3,0,6,2,1.15
252,59,British Columbia,Colombie-Britannique,3/24/2020,617,0,13,617,145,12.17
253,48,Alberta,Alberta,3/24/2020,358,0,2,358,57,8.19
254,47,Saskatchewan,Saskatchewan,3/24/2020,72,0,0,72,6,6.13
255,46,Manitoba,Manitoba,3/24/2020,11,10,0,21,1,1.53
256,35,Ontario,Ontario,3/24/2020,588,0,8,588,85,4.04
257,24,Quebec,QuÃ©bec,3/24/2020,221,792,4,1013,385,11.94
258,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/24/2020,4,31,0,35,11,6.71
259,13,New Brunswick,Nouveau-Brunswick,3/24/2020,18,0,0,18,1,2.32
260,12,Nova Scotia,Nouvelle-Ã‰cosse,3/24/2020,51,0,0,51,10,5.25
261,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/24/2020,3,0,0,3,0,1.91
262,60,Yukon,Yukon,3/24/2020,2,0,0,2,0,4.9
263,61,Northwest Territories,Territoires du Nord-Ouest,3/24/2020,1,0,0,1,0,2.23
264,62,Nunavut,Nunavut,3/24/2020,0,0,0,0,0,0
265,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/24/2020,13,0,0,13,0,
266,1,Canada,Canada,3/24/2020,1959,833,27,2792,701,7.43
267,59,British Columbia,Colombie-Britannique,3/25/2020,659,0,14,659,42,12.99
268,48,Alberta,Alberta,3/25/2020,419,0,2,419,61,9.59
269,47,Saskatchewan,Saskatchewan,3/25/2020,86,0,0,86,14,7.32
270,46,Manitoba,Manitoba,3/25/2020,11,24,0,35,14,2.56
347,24,Quebec,QuÃ©bec,3/30/2020,3430,0,25,3430,590,40.42
348,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/30/2020,148,0,1,148,13,28.38
349,13,New Brunswick,Nouveau-Brunswick,3/30/2020,68,0,0,68,2,8.75
350,12,Nova Scotia,Nouvelle-Ã‰cosse,3/30/2020,127,0,0,127,5,13.07
351,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/30/2020,18,0,0,18,7,11.47
352,60,Yukon,Yukon,3/30/2020,5,0,0,5,1,12.24
353,61,Northwest Territories,Territoires du Nord-Ouest,3/30/2020,1,0,0,1,0,2.23
354,62,Nunavut,Nunavut,3/30/2020,0,0,0,0,0,0
355,99,Repatriated travellers,Voyageurs rapatriÃ©s,3/30/2020,13,0,0,13,0,
356,1,Canada,Canada,3/30/2020,7424,13,89,7437,1179,19.78
357,59,British Columbia,Colombie-Britannique,3/31/2020,970,0,19,970,10,19.13
358,48,Alberta,Alberta,3/31/2020,754,0,9,754,64,17.25
359,47,Saskatchewan,Saskatchewan,3/31/2020,184,0,2,184,9,15.67
360,46,Manitoba,Manitoba,3/31/2020,91,12,1,103,7,7.52
361,35,Ontario,Ontario,3/31/2020,1966,0,33,1966,260,13.5
362,24,Quebec,QuÃ©bec,3/31/2020,4162,0,31,4162,732,49.05
363,10,Newfoundland and Labrador,Terre-Neuve-et-Labrador,3/31/2020,152,0,1,152,4,29.14
364,13,New Brunswick,Nouveau-Brunswick,3/31/2020,70,0,0,70,2,9.01
365,12,Nova Scotia,Nouvelle-Ã‰cosse,3/31/2020,147,0,0,147,20,15.13
366,11,Prince Edward Island,ÃŽle-du-Prince-Ã‰douard,3/31/2020,21,0,0,21,3,13.38
367,60,Yukon,Yukon,3/31/2020,5,0,0,5,0,12.24
